company,client,item,qty,price
WKY,OUJ,13425,13,3
HGU,OCN,15265,29,22
VXB,UQX,5324,30,12
NOC,TEO,10652,44,30
GBH,NXY,2471,19,29
ACQ,XOO,28404,40,8
GEY,UCX,4116,15,22
LCS,NFS,16432,45,10
LGW,CQG,11823,42,30
RLG,THS,12237,27,22
HGD,YBM,1862,30,14
GFB,MWY,23046,29,6
NLD,DEY,4037,45,6
VUR,QWL,31056,24,20
QJG,HXY,5272,20,21
HKR,SBR,13434,3,7
ZFZ,JML,22146,4,8
IND,MLF,16241,43,9
WMJ,AFB,18429,19,25
ILH,NBO,32407,24,25
ULP,EQF,4923,47,10
CNT,UES,17267,22,17
SVL,ASM,30461,38,12
EFS,NDU,32268,33,30
XRS,NLI,6988,16,28
FIQ,PLP,26155,35,10
BVJ,QSA,22113,37,11
WWG,FSY,21487,39,2
BBL,SAF,4934,28,19
NAA,UVY,10776,10,22
TRI,EHR,23152,25,3
IDB,NWF,4019,20,23
WNP,ZTC,28079,42,20
ISX,JQU,19711,2,8
HHW,IUW,15384,5,26
FSL,UGO,6357,32,7
NXF,IKF,8267,46,4
RRE,MQZ,14880,29,5
KSO,BMC,21508,21,30
ZSB,BBW,10953,7,20
NZO,TAR,9064,24,14
ZJU,DGR,10178,40,28
XZV,JGW,25481,20,8
CYD,EMO,27999,13,13
HQT,WID,12023,39,15
EAU,SUX,31321,16,9
XAA,JRZ,17861,45,2
FHJ,QAX,15572,32,31
ZEB,CAQ,11983,26,0
LBF,XSA,25250,33,13
SSL,KND,10017,16,27
KAZ,NMH,10490,42,27
KLR,WYA,30248,3,15
ASN,QPQ,348,46,13
YDH,LEG,4221,31,24
KKQ,GMT,23452,36,23
ZQM,FCG,14946,6,30
MBA,WLK,5170,9,16
KPR,EPV,7467,5,10
WRN,NDH,18058,6,5
UKX,QKA,14210,15,4
KAZ,IRU,851,46,31
CVZ,EHQ,31107,25,12
TGL,LJB,18453,31,30
MLV,DZU,220,5,32
OCW,EXO,15554,9,28
TXJ,DTX,8422,11,8
LUB,ZJB,9996,0,32
LJW,VJT,19172,44,13
EBR,NYV,3801,47,30
LZT,TRQ,31799,20,26
VMH,YDD,22131,5,32
RPU,ETG,17515,7,10
WVS,VQF,2889,26,32
MPQ,NDK,13433,46,28
DWF,HOP,14385,10,23
OTX,QUP,20841,40,2
PZY,JWK,30243,42,2
YRC,PKS,13152,37,31
NCS,FIA,15813,9,0
TBE,MZY,31003,40,13
QTL,UBJ,5614,45,2
RWT,QAJ,26967,44,5
VSI,GFP,32337,20,8
HLD,UJA,8270,10,12
MLO,IAP,12058,11,5
ZNF,MEI,1266,1,1
XBC,WOS,26717,29,32
ZJY,KDP,1262,30,3
TZT,YZF,24366,16,7
NPC,OVA,9044,42,6
AJT,ASH,6290,28,10
ZDB,RTX,20435,36,5
MUT,TAB,25501,44,16
SDY,RQM,9193,39,15
OTS,XKI,14967,1,30
KUB,TYI,31613,28,4
WUP,ORQ,28419,18,0
QDZ,HRY,19798,26,25
RIG,LYU,28896,29,21
IHF,UAQ,11078,44,12
TQE,VGV,18093,45,18
RKK,SLR,21331,38,24
AEO,PKR,18428,16,10
QWC,GAH,4054,11,31
VSH,TTO,19512,18,25
IYE,ROL,10281,10,28
ECJ,XAQ,16001,43,13
TOP,ETG,9978,15,18
JJY,IYD,17155,30,8
VOI,AHH,20956,32,30
CSH,PFB,24559,44,24
CUX,ZAT,121,38,1
LUI,ZJW,12235,46,2
ZLP,OJQ,3479,12,26
UGL,SDX,2335,12,30
LDD,TAH,8386,13,31
HMJ,MWQ,20759,28,16
PBT,MJH,32443,1,7
IIS,DHJ,28689,10,5
IVM,PDQ,8533,8,12
YXD,DZT,5118,10,3
HXH,TMX,25775,31,22
GXC,GGP,23340,17,11
OJF,MGF,30143,17,9
EMM,WJM,1936,3,31
HBG,SZG,7567,47,2
JWU,YNL,18993,29,15
YSU,JCL,10990,36,30
TNG,YHN,5738,9,21
TNA,VLZ,16432,1,14
PWK,OHA,18758,39,0
TUT,VAO,13707,9,18
YDI,FIP,4455,10,11
OSE,LZD,17045,9,16
PXM,XQS,7039,31,14
NGX,QID,1378,40,30
QAY,NMF,11187,29,4
ZWZ,EGY,8835,36,19
MNO,STM,6857,22,26
SBM,IBJ,15104,45,28
TYW,RQB,7392,36,32
JNK,JIP,1524,16,8
BCQ,NIA,3772,43,3
CGW,YWF,13958,15,31
CLY,QIG,20943,27,21
NOZ,TKT,4502,31,13
SEM,FLY,14251,47,30
XEM,IWC,31868,34,29
QPI,PEE,29,34,1
RJG,VYC,6668,34,18
KTA,GIW,26421,41,10
OVJ,WTE,1198,30,28
NKT,ROY,26637,24,0
UHH,YVN,32320,9,15
LEY,FHP,29556,1,15
HMY,VWC,26527,39,3
LOC,NDS,12585,24,21
MMW,JUU,15420,27,29
HWX,GHH,23163,3,0
BCD,IGZ,1644,7,29
QMB,QAF,18097,3,12
GFU,FOA,22729,43,27
TVL,GEJ,17382,13,24
CRV,WSZ,27721,25,13
LUZ,ZGP,29620,42,9
PIW,UZR,31602,44,32
SPC,OUL,5867,4,12
NGZ,TAB,26484,3,8
CFT,AYL,5834,38,26
LCQ,CSQ,31573,36,30
MHO,NXE,25927,27,2
SFA,PIP,29341,42,17
VYR,XSM,15999,32,13
FPJ,EUR,18633,19,23
ZDO,CUQ,9450,42,30
QTH,NAD,19080,36,11
FXH,NXR,26047,11,7
CJT,YHO,31650,18,18
MXV,OBL,2589,7,10
TMQ,UFQ,19497,10,25
FZF,ABL,25548,46,6
ULJ,USH,12238,32,31
BQC,RZA,10810,6,21
IUY,IIQ,1859,26,6
ION,VIE,6320,3,21
GCC,UXD,8220,19,14
MKO,YBV,13428,32,7
PBM,WJN,29359,38,19
YYQ,OST,2048,28,12
CYI,QJP,2805,20,30
CJT,EBR,7013,28,1
UQM,BHG,13897,27,5
CYC,AAZ,17620,33,17
QZT,RDA,31594,43,24
JRZ,XUE,10175,42,20
JJI,ZUF,6740,28,3
NVV,ZAO,16047,24,4
JMV,AEZ,1243,4,21
UFR,RCE,2519,47,0
ZPW,WEZ,8042,46,14
ZGZ,LDZ,17126,0,21
PMK,TXR,14894,9,0
EGY,KJZ,25958,12,30
ABK,TPM,20401,8,15
IQF,OIV,8257,29,30
LGA,FXF,17394,5,28
ZKY,KDR,7612,45,28
XDB,BUB,24218,33,2
ZSH,PFJ,29731,4,23
OCH,HBD,22502,16,15
SBR,JFS,28637,38,31
UAB,JHP,28642,32,12
XSV,KYA,12137,3,18
ULE,GTQ,13114,28,4
KMK,WXS,24988,14,26
ZNG,KWO,29207,9,1
OTH,DWN,8646,35,30
YYR,HJR,1573,21,4
XFB,WRD,9985,0,8
AXD,PFT,20875,47,6
YMI,KMT,21629,31,29
EEY,JKV,14313,7,7
AGA,CXN,16135,11,7
SQE,QAF,16371,26,21
PNF,THW,17842,2,28
EIE,QXT,19520,46,1
MWV,XIO,20051,9,7
AUU,VTA,23795,4,31
AWH,VZZ,6272,5,1
DIA,ZMS,19316,47,29
GXW,TAD,2576,45,8
NZG,UDJ,30966,3,15
BCM,BVS,14302,15,20
WSG,UBF,2859,21,15
LLM,VHR,29468,14,19
WAO,QPH,2057,41,26
HTA,LFK,24964,23,32
QRC,QZL,29848,22,24
DYZ,MUI,27804,13,13
AVI,CUK,17462,5,25
OXT,JEC,28041,0,32
TJH,YPK,6730,6,20
LUD,QQO,10382,37,3
QKE,RNV,15702,45,29
YJJ,GZE,31494,37,2
HQH,NYG,4833,12,18
ACB,SKF,11575,37,19
COK,POM,9356,2,1
DZD,QFX,13693,39,17
GUZ,DXU,19453,12,2
BHW,UAB,29362,30,12
KHS,XMQ,19261,3,6
XTX,IUQ,20207,12,1
VLB,CBL,29192,40,18
NGF,BFL,6782,17,4
TUR,EMM,2536,30,4
PNC,WDG,4553,18,14
IKM,WIM,28928,13,1
GEU,JYE,27172,11,22
QUP,TUD,8046,13,22
SNI,BYS,8884,41,3
LHX,KRI,5906,7,6
MTA,WIU,26922,15,28
BGZ,FAS,6223,0,15
ZQB,IRO,8117,9,21
HMD,IQM,32234,15,16
LJZ,HIH,13860,24,2
FKM,YMK,7425,19,4
GUN,HAZ,27461,22,31
ZRD,ZWE,16118,39,5
OFU,PKQ,22596,33,28
TIY,DEO,5451,35,30
FHW,SVG,16626,15,32
LRA,DUL,3960,32,23
JDP,RKU,18776,26,25
EZS,QAA,22342,10,1
PYZ,LIX,2510,21,22
LKJ,VVW,29232,41,28
AIE,KOI,26602,23,11
OCA,RNY,26034,37,22
ZUA,GSV,25695,26,32
RQU,TFG,21027,48,21
IHA,YDH,5742,12,32
MBK,HLX,12664,21,29
AZO,PFW,27634,2,30
FRN,VPA,7438,22,4
AZJ,XMV,12982,44,7
QVW,TTN,3526,37,32
BEI,WWA,6283,19,3
DKV,HCM,28803,19,23
FUJ,SMF,30967,34,14
ZZV,HWR,27750,9,23
JCX,ZMJ,26127,23,16
QAP,BUI,2844,6,20
SDS,STU,7112,27,8
NTU,WZV,17793,13,11
PHM,JQO,29873,15,12
OQI,JGQ,26907,47,13
PXP,DNH,17032,4,28
VPS,UFF,15728,29,5
VUQ,UYI,18552,42,8
VAD,FGW,25634,32,4
ZLT,AEP,5056,19,32
MGQ,GON,31225,41,15
EAQ,OYN,2438,41,24
NZG,BBU,27129,15,8
RQB,CNS,7667,6,21
FQJ,WID,26884,22,29
KYY,SDR,9137,19,22
SXV,OEF,27177,48,25
ZZP,ZTV,23852,36,10
RBL,JVL,5364,17,12
CGI,CVW,18518,45,5
MDC,NZE,18126,44,6
WHG,YRI,7757,7,7
IQA,HXQ,9323,25,13
CIK,NKX,16416,36,14
BHV,KOS,12325,43,19
HXR,KBK,3342,32,8
RIV,GGF,28226,15,13
ACN,TSS,29944,33,24
RSE,QKX,4444,28,14
EVV,PFU,3044,44,12
YSM,XOH,664,19,28
KML,EPP,31960,10,5
NFS,PYM,26900,26,21
XOI,GOS,16423,40,31
RBN,WRP,25294,3,20
OMQ,FIE,29536,18,18
KDL,FRL,22906,7,12
ANZ,UMO,5273,39,25
MNH,FAY,32097,27,28
IMQ,LDI,2468,29,19
ZND,LZR,5300,44,31
WOW,YKN,29769,21,1
URK,NFV,1938,10,11
OPC,JAH,15306,9,2
MPJ,BOO,3434,30,23
UTD,YHU,31183,10,10
GUO,EOX,13831,30,12
JLD,KXX,20296,35,16
DZH,QZP,12939,23,26
HGE,XMJ,5325,34,10
XRZ,TZJ,16281,39,13
OND,FXD,2188,43,27
HRY,VVI,29243,48,18
YZB,FDM,18963,3,5
PFG,WVZ,22177,26,15
ZYR,SIC,2524,2,9
WVD,MGJ,29776,26,12
HGY,OSO,25547,27,8
BRF,VKZ,29518,46,12
ICK,GLI,24998,38,28
OYA,DWK,1682,12,31
QAG,BQW,10204,21,22
PAY,OSW,14332,16,29
IZU,SSW,15222,23,20
XSF,XDJ,28561,47,16
QPY,DHR,13837,30,24
PDB,UPP,12309,4,1
WMO,PEU,3605,42,4
JGZ,QIY,24040,41,20
GZW,OAU,32211,43,19
WDJ,FHB,31684,23,2
CBR,KRA,16409,13,23
KEU,PDA,21547,30,7
HCR,DEQ,29328,4,19
IKY,TTW,10703,16,3
UJE,JPD,6009,41,8
NPX,HMS,25372,24,10
CNP,XIW,30144,16,22
ERL,IQX,15615,40,2
IAF,SLB,19270,25,7
MJU,GXP,10588,5,24
YVH,VXZ,6294,31,30
NFA,EHX,16788,17,19
NFS,ZWL,112,45,1
VKK,NCF,32090,21,23
RSU,CND,24287,21,27
PME,TOI,15910,36,6
COX,BNL,31914,14,14
RVY,VDL,19633,10,6
AMZ,CAZ,7562,10,26
ONN,XTZ,28309,6,26
CSA,LFE,12471,16,18
QDN,NZM,29699,18,16
DOH,RNP,6519,40,30
RVA,YGH,160,14,22
XEZ,SEB,22133,45,15
SAF,NXV,29142,14,14
CCA,ZMO,28107,30,32
NXK,VLC,24854,33,28
COV,MDU,9196,35,22
BLR,ZAE,1246,43,19
FRA,VEH,12636,12,9
HSP,CBI,12746,38,16
CYK,BBG,3651,11,26
POW,UPM,10012,9,25
RRZ,ZFG,23852,35,22
GMU,AXT,20795,27,2
KDQ,WEA,6352,30,28
QRM,CIQ,10662,39,13
HNN,OKP,7051,21,5
FGH,WJF,29137,41,7
RHO,NYN,9018,12,8
YXK,DIS,1661,33,18
ZJZ,MMR,12846,16,2
JFJ,NIO,4133,37,6
TTF,HMT,12628,1,28
TKH,CLQ,14930,2,21
SJK,THA,12321,4,8
GOK,WTY,6722,42,31
FLT,OKB,5873,22,8
CQH,ZVH,19906,42,17
XMV,HJP,18409,47,4
YXN,WQS,27209,25,23
XDY,BOE,3317,25,25
CDI,XAJ,26828,24,13
UAF,FEW,1912,5,5
ILF,MKA,3624,20,0
JPW,DHY,6207,10,21
LBW,BHU,29044,48,11
VMB,OTA,8924,13,1
QQZ,KWY,30177,2,14
CUM,GGB,25285,44,3
DQZ,YEP,20719,30,23
UQG,VSB,8375,31,18
LAE,YDH,3388,30,19
WHE,IKZ,8436,46,7
GFY,AVT,13083,17,2
RJB,SXW,20268,10,3
SDX,XGA,9617,39,24
TAQ,ORK,215,45,3
AUW,AFE,30783,40,12
PRO,UFN,14159,39,4
QZL,CKF,17675,23,5
QWM,GPS,9698,45,6
ARP,KJD,20584,24,8
AKP,AIM,6798,36,19
EQF,ISS,7556,18,2
EJR,NMR,26660,27,10
XDX,NDA,17290,30,32
TCJ,XCC,23986,5,3
LPX,UXD,10159,10,27
KOK,YXN,31920,38,9
MVA,UAY,10898,39,3
ZQR,WKT,8198,17,13
FAB,NZP,10956,5,9
VKL,JKF,32254,11,2
EEH,NQI,23738,34,4
KEE,LYC,3385,29,31
SNC,NBW,28003,27,20
ERM,RCV,21146,3,30
LSO,IXB,20688,45,11
WOH,LYT,20751,24,7
JTY,KQB,2542,5,15
LUT,YVS,5313,10,23
YTJ,VPJ,27059,38,23
WSS,NUJ,2474,10,0
MJW,BUJ,14847,41,30
ERP,GQV,23942,1,20
GGW,DGN,20007,35,24
YUR,VUH,13243,47,23
FRB,RTK,25172,15,15
POS,MZE,19024,46,15
QGN,WYJ,29305,6,32
OFZ,HWV,4570,16,8
VWR,BKV,15088,41,13
ZDZ,ANK,14936,16,14
NOJ,ZPZ,4752,28,16
GXJ,WPA,2091,23,17
ESI,ABS,28700,4,16
ZKC,ZTD,25430,24,12
GWL,GNM,26444,37,13
KIL,QUU,29630,17,8
EIC,PKE,25189,31,28
LXK,ADK,7496,28,25
WJP,AAU,6636,24,12
ICI,NGX,2141,3,4
TXE,PQP,17218,48,5
JKM,BDK,16885,37,9
DSR,WYV,26136,5,11
CYY,CAS,24284,12,28
EGN,KMB,26834,26,16
TCL,KWH,24212,45,13
ZJA,BGQ,30624,4,19
JUG,IJD,25161,3,25
NXO,QCG,497,42,26
VSY,ULE,19134,21,30
SYY,FEH,21667,29,18
MGG,DND,19653,37,27
AOG,QKY,15620,17,11
NCA,RYJ,31257,30,2
DIJ,RNC,11631,5,31
PYD,QDN,3358,38,13
BRN,CVY,855,10,12
UTN,XJX,2639,39,0
ZPD,GZN,9041,27,31
TGC,MYH,21956,30,10
HOP,XFP,25734,44,31
ZRI,UJZ,25142,38,10
QNR,CXX,5763,28,17
EUM,ALB,17687,12,25
QTL,CGV,5288,28,20
KEE,UJM,18717,30,28
OPG,DMK,18721,44,29
QML,SLB,29581,43,26
YBB,UUR,31376,47,20
PXU,NMJ,24188,39,23
OFQ,PGP,30909,18,23
UCE,COM,1349,2,19
QZU,DRA,7572,38,32
WGN,DXU,14611,10,26
KPZ,JOV,26678,13,10
HSZ,GUM,25529,27,5
HYS,YAA,10329,43,31
OVP,JHK,16911,17,20
YQO,NCW,16319,48,19
OLW,LBL,13988,36,25
TUA,TPN,5965,22,26
FCE,QCJ,31963,8,17
JQR,QKH,13940,17,12
NPQ,MEV,14999,23,22
QNU,LSG,22473,28,24
YNO,QKQ,4616,10,26
WNE,JUJ,29776,14,17
QPF,NGV,20991,29,26
YBY,MXF,24164,17,1
YYP,MDS,5489,28,32
PHJ,MMZ,24766,36,2
XWA,RRY,3380,6,15
ZMY,QZK,31803,13,31
BEZ,NHQ,18868,39,28
LIC,QOK,26323,30,21
SFK,QXG,22404,46,24
BEK,JNX,24651,35,32
MRI,KEW,1478,26,3
LXH,XYX,24365,33,15
ARA,RHG,12804,11,9
SMW,QET,22599,23,3
OGH,HJZ,19478,43,32
JUY,FZP,30950,34,2
GFL,FLU,29910,1,28
JLG,AHH,17867,25,30
IKF,BHX,21434,41,3
CLA,ACK,3978,16,14
XPV,YJJ,954,30,1
QNN,BJH,29458,42,27
UTZ,DEE,21335,47,18
NEN,FNP,10731,22,21
IQA,WWI,16343,32,28
UTL,YSD,1370,4,4
IJZ,VKV,31826,39,28
DKO,TGR,4823,27,23
BTM,HKD,8671,31,5
GII,RRO,23955,48,6
LJL,EAQ,12892,22,3
RWF,TJV,28324,30,1
OKV,EGY,31653,9,3
EUI,DKW,16857,40,13
ASN,ODH,22205,24,11
MBE,DAP,27545,14,14
UBP,VSR,15626,5,4
IAO,YOJ,3387,29,8
ZGZ,JLG,30251,27,5
PMX,XQQ,18083,39,30
NTL,DPC,15428,1,14
IUA,QTO,26378,30,3
QXQ,SOH,1659,20,8
UGQ,QNB,13485,12,0
ACH,NVQ,6671,42,32
VXW,VWW,29695,32,32
OKH,WPP,7398,18,2
NOI,KCI,27174,0,28
XHK,LRX,7118,16,11
HQJ,WBB,15622,5,23
HLK,QCO,3756,3,9
OKF,UXJ,32355,39,28
KJG,BQV,14386,33,22
UKG,XFE,11287,32,6
TZA,NIG,28019,31,11
VDN,FGA,18047,18,31
PIW,ARG,31167,33,21
MUW,RIZ,18653,1,10
EOZ,WRJ,18869,42,11
TPB,FFC,11425,8,14
XSS,KPG,16380,2,6
SWI,TYS,27602,46,30
SEE,MBC,23056,14,17
NDD,KFY,989,37,8
OXT,EQF,29647,16,4
RKV,LBN,27938,44,16
YQN,ZMX,8049,32,12
HZC,QEK,22173,42,13
KCW,AFT,6002,27,25
FVT,QAY,24151,26,7
ISR,QQJ,20505,39,13
MNE,RPC,14702,0,11
WAG,IWY,2717,3,4
KPC,SVJ,6968,31,8
BDB,LSA,7208,9,27
WMC,ZBU,11759,6,11
BWZ,WPZ,30270,20,17
YJF,YND,6920,36,22
WAY,YYQ,22021,48,14
MHC,WGV,13266,36,18
JLB,IRD,31482,31,13
PLE,JBV,26263,18,26
RHG,ZWT,2269,38,21
WYE,ZPL,15258,42,9
SGN,RCO,13666,26,16
GQS,PQX,26606,22,6
PTJ,FUQ,1926,11,24
JOG,GKD,16639,45,6
CMN,GBJ,27521,5,23
KVI,AWD,2605,39,17
LOZ,YIU,13336,33,0
GPA,ISC,26259,14,26
JDA,ZSF,29264,45,6
ODZ,TQP,15168,6,26
VND,GSN,2227,30,10
KXE,GWQ,30547,32,10
APJ,TPI,13076,10,15
YCG,OGO,12233,40,15
UCW,MGK,24740,38,30
FDX,YXF,32536,12,14
DIW,WYH,9381,32,11
GCP,UON,29452,46,32
HTS,HZW,14940,26,0
ATF,GJF,3431,10,17
MEP,RMB,11034,12,3
UZG,PSB,29979,14,18
XAK,TTL,564,38,21
AIR,MYV,17257,11,22
HJV,PCX,31809,21,10
ORW,RND,15019,2,5
LSL,KKN,28858,6,0
HNL,JFW,31023,4,19
QYD,QVB,18295,23,17
OTY,WZH,4739,31,32
VYK,PID,8466,28,24
MIO,IKJ,17514,8,27
PGQ,HXY,12784,18,32
VYZ,CTY,9553,39,6
DFK,HHR,16027,13,13
ERA,IZS,23378,16,22
NSP,BKK,11387,7,27
AIG,SHS,32559,41,20
XDH,SRI,15701,19,24
WAE,UOE,21113,34,16
DEN,HHY,12003,1,20
WCV,YVF,22747,6,25
QFU,UFN,21940,46,14
YBQ,SJT,15313,45,14
UUR,CXD,29715,47,16
XMZ,NTZ,15825,10,10
MUS,ASL,15244,22,20
KDY,JEC,618,28,32
GHI,BNE,19259,17,27
WPX,PHB,21606,7,14
YAV,TFN,19111,2,22
RAO,LNZ,27223,29,20
NXM,QVJ,12098,18,0
JQE,JNS,21259,34,20
PKY,JGJ,14812,40,25
XEV,UOC,15496,13,21
GAR,LDR,18021,41,26
PTA,LBV,25318,25,31
IBD,GPC,11446,28,3
ZTE,LVK,32702,21,25
CGN,UHH,24167,34,12
ADH,FRL,1949,4,25
UHN,KUC,7433,2,11
LCK,WQT,5117,28,10
PNF,GEF,29099,11,18
SLO,HKV,28142,2,31
YJD,HFW,28601,19,21
WNJ,HLW,14333,27,21
XPC,EKR,7353,27,28
DPB,UZJ,28687,33,12
KBD,AMH,4685,0,32
FWV,UKG,23493,24,31
OWO,QRS,15765,14,0
XWN,PEY,15763,3,9
GLY,NXA,17852,14,21
EDE,PFJ,30877,10,5
CBB,ETH,12740,9,20
WKD,HOI,32467,23,0
RQU,HZU,3661,5,16
UOA,KWW,15145,5,19
GNF,VEB,19951,19,7
BGK,GTX,12468,0,8
KGW,RKR,16714,0,10
GUV,IOO,2238,23,21
ZQY,ZCQ,15787,38,13
XMA,JXD,24249,8,3
OVA,OGL,577,11,3
BIK,VDR,7378,36,18
YWY,XHD,23484,27,10
NBD,VCL,24312,32,29
RLK,JGB,15841,31,18
NNJ,BOK,18508,33,6
MIW,VHE,10399,2,31
DSW,JQZ,3741,19,18
HET,VDY,3342,39,32
MYQ,OAJ,28048,25,9
IGO,RNH,24843,18,8
HJY,GJH,16422,12,0
ERH,VCT,8139,12,19
TUL,KUI,26626,20,27
WJI,YWY,7753,32,24
ECI,BCH,7176,46,5
DHX,ZML,1571,14,0
YZS,GQZ,639,23,15
XDM,DSS,5216,47,8
FDB,DIV,30543,17,22
ALH,MRR,6730,22,16
OGZ,QXE,3949,18,26
ZTK,WRN,3828,8,1
COR,GBC,3697,0,3
PWD,PMZ,27074,0,2
HMG,OIZ,31215,16,25
MRT,OBT,4334,13,26
FOD,SZM,13034,28,31
JAD,RBO,20642,8,15
JCQ,MAF,3418,29,32
DXP,QAG,22475,9,5
WOR,AGR,7670,15,18
DJQ,TUS,12124,45,10
YPM,VGO,3382,40,2
KOS,HMP,29660,8,18
YWD,TAB,5268,27,8
TMQ,OEI,13529,44,8
CQA,ATW,12754,26,32
YZH,DOT,4979,23,11
VJT,ZLO,1847,6,23
DWI,YMB,18887,28,25
WJN,DJE,685,20,24
SNW,IYL,28507,30,32
TVL,RBR,31018,4,27
MAS,AGU,27692,47,7
NQW,ONU,618,4,29
VVF,NYW,8915,34,30
VNZ,HRC,2710,8,11
JNQ,XNN,7948,19,22
ONT,YVO,5823,12,4
VZH,ASF,6641,15,22
HLP,ENW,30474,2,11
KOP,UQV,29734,45,2
KFE,NZK,15222,47,3
KQX,TOS,4241,16,30
OQX,DDN,30628,1,10
HYU,QRM,25985,1,23
NDU,HQJ,11096,31,19
IRK,CCZ,24585,9,32
QSF,APS,19445,39,3
LGR,AHJ,27912,18,20
CBV,PRY,22900,46,11
ALJ,TQO,2544,40,16
SVB,FMI,11550,39,8
OLU,VAJ,26299,4,8
PQJ,AXI,11658,15,14
PIT,HWC,30396,41,9
TMR,IJH,29429,28,11
MZP,MQQ,25235,33,24
SXC,OZO,18381,45,21
OZZ,TRG,11127,21,6
ZUP,YHF,26503,46,12
SXA,WYX,4618,27,18
NKA,GEG,3963,46,3
VRA,WSC,1794,3,10
DQK,ZRS,15342,47,23
XRX,SLE,10520,0,13
IXX,HJF,6693,38,4
TAJ,PPC,18591,2,28
GQW,DHL,29469,36,5
JKQ,BDS,21209,11,14
UIU,ENY,24274,32,25
HJO,OCX,169,22,2
POT,QGF,30247,0,19
HYL,IRA,17192,21,29
IKB,UAK,9499,45,26
BWH,LZW,13213,36,27
IMJ,TBI,18880,7,2
KJI,WYM,31987,27,2
KYH,UTX,31366,11,18
EJS,WYA,10343,31,13
KJF,KXU,10783,15,32
YYW,GCR,3790,25,3
YRH,PKF,6355,5,31
BWU,KNG,53,11,29
ASQ,TVM,27758,6,4
ZGX,AJA,22331,21,15
LKB,LQL,16444,34,3
KPZ,JUY,19819,44,31
YRD,KLW,27905,22,23
JQK,LYP,3113,23,25
